종목코드,종목명,현재가,전일비,등락률,거래량,거래대금,시가총액
005930,삼성전자,"70,000",-상승,+1.74%,"10,182,255","716,189","4,143,747"
000660,SK하이닉스,"259,000",-상승,+0.19%,"1,631,452","416,793","1,885,526"
373220,LG에너지솔루션,"388,000",-상승,+1.04%,"118,405","45,690","907,920"
207940,삼성바이오로직스,"1,026,000",-하락,-0.48%,"23,260","23,856","730,245"
012450,한화에어로스페이스,"930,000",-하락,-0.64%,"70,084","65,458","479,540"
105560,KB금융,"114,400",-하락,-1.04%,"380,438","43,486","436,393"
005380,현대차,"212,500",-상승,+0.95%,"227,090","48,324","435,110"
034020,두산에너빌리티,"66,600",-상승,+0.45%,"4,371,809","292,364","426,614"
329180,HD현대중공업,"480,500",-상승,+3.00%,"185,249","89,199","426,555"
000270,기아,"102,200",-상승,+0.39%,"259,153","26,523","406,421"
